彰化縣溪湖鎮西安段1301-0000地號
彰化縣社頭鄉社興地段249地號
彰化縣社頭鄉社興地段376地號
彰化縣社頭鄉社興地段247-10地號
彰化縣彰化市西門口地段0063-0004地號
臺中市大肚區福和北段0078-0000地號等2筆
臺中市烏日區月勞月胥地段頂月勞月胥小段265地號
南投縣名間鄉東厝地段378地號
彰化縣田中鎮中山地段0225地號
臺中市西區土庫地段67-148地號
臺中市西區土庫地段67-150地號
臺中市西區土庫地段67-152地號
臺中市西區土庫地段67-169地號
臺中市西區土庫地段67-170地號
臺中市西區土庫地段67-171地號
臺中市大里區東湖段379地號
臺中市大里區東湖段374地號
臺中市大里區東湖段381地號
彰化縣鹿港鎮上林段266-10地號
彰化縣鹿港鎮上林地段0244-0000地號
彰化縣鹿港鎮上林地段0245-0000地號
臺中市龍井區永順地段227地號
南投縣仁愛鄉松崗地段0793-0000地號
南投縣仁愛鄉松崗地段0790-0009地號
彰化縣鹿港鎮上林段547-81地號
臺中市梧棲區港口地段0339-0000地號
彰化縣大城鄉楓港段1774地號
臺中市南屯區鎮平里鎮南段866地號
臺中市南屯區鎮平里鎮南段868地號
臺中市南屯區鎮平里鎮南段869地號
臺中市南屯區鎮平里鎮南段873地號
臺中市南屯區鎮平里鎮南段875地號
臺中市南屯區鎮平里鎮南段876地號
臺中市南屯區鎮平里鎮南段877地號
臺中市南屯區鎮平里鎮南段878地號
彰化縣溪州鄉柑園村過溪子段622-2地號
彰化縣溪州鄉柑園村過溪子段628-88地號
彰化縣溪州鄉柑園村過溪子段628-87地號
彰化縣福興鄉三豐段588-1地號
臺中市豐原區豐原社地段40地號
彰化縣鹿港鎮上林段75地號
臺中市清水區三塊厝地段菁埔小段6-56地號
彰化縣鹿港鎮上林段295地號
彰化縣伸港鄉伸興地段0030-0000地號
彰化縣溪湖鎮大庭地段207地號
彰化縣溪湖鎮大庭地段207-1地號
彰化縣溪州鄉柑園村過溪子段154-12地號
彰化縣溪州鄉柑園村過溪子段154-13地號
彰化縣溪州鄉柑園村過溪子段154-14地號
彰化縣溪州鄉柑園村過溪子段154-15地號
彰化縣溪州鄉柑園村過溪子段154-16地號
彰化縣鹿港鎮上林段0375-0000地號
彰化縣鹿港鎮上林段0376-0000地號
彰化縣鹿港鎮上林段0377-0000地號
彰化縣鹿港鎮上林段0378-0000地號
臺中市梧棲區港加地段87地號
臺中市梧棲區港加地段88地號
臺中市梧棲區港加地段89地號
臺中市梧棲區港加地段90地號
臺中市梧棲區港加地段91地號
臺中市梧棲區港加地段92地號
臺中市梧棲區港加地段92-1地號
彰化縣花壇鄉橋頭段0193-0000地號
彰化縣花壇鄉橋頭段0194-0000地號
南投縣埔里鎮梅林地段319-3地號
南投縣埔里鎮梅林地段319-4地號
南投縣埔里鎮梅林地段335-2地號
